Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Thanh Phan,Monash University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,https://www.monash.edu/medicine/scs/medicine/research/star/clin-trials-imaging-informatics,49985,37047,65,49,172,140,NeurosciencesStrokeImagingGeospatial AnalysisData Sciences,https://scholar.google.com/citations?hl=en&user=CLFWir0AAAAJ
Tat Dat Bui,"Department of Shipping and Transportation Management, National Taiwan Ocean University, Taiwan",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7019109672819778564,Verified email at mail.ntou.edu.tw,,3323,3239,27,27,36,36,big-data drivensustainable solid waste managementsustainable developmentSolid waste management,https://scholar.google.com/citations?hl=en&user=opf74F0AAAAJ
Chau Yuen,"IEEE Fellow, Highly Cited Researcher, Nanyang Technological University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3012140508424117850,Verified email at ntu.edu.sg - Homepage,https://blogs.ntu.edu.sg/chau-yuen/,41423,32768,91,77,470,371,WirelessSmart GridLocalizationIoTBig Data,https://scholar.google.com/citations?hl=en&user=7VLbLUMAAAAJ
Hai L. Vu,"Professor of Intelligent Transport Systems, Monash University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,https://sites.google.com/site/profhailvu/,7356,4141,44,33,136,79,Data communicationsIntelligent Transport SystemsDistributed controlVehicular CommunicationsConnected Autonomous Vehicles,https://scholar.google.com/citations?hl=en&user=TYZGQR0AAAAJ
Tien Tuan Anh Dinh,Deakin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au - Homepage,https://dinhtta.github.io/,4476,3947,21,18,35,31,DatabasesSecurityDistributed Systems,https://scholar.google.com/citations?hl=en&user=224X-HoAAAAJ
Thang N. Dinh,"Associate Professor of Computer Science, Virginia Commonwealth University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14688656173324165277,Verified email at vcu.edu - Homepage,https://thang-dinh.github.io/,4129,2544,31,24,62,46,Graph LearningBlockchainQuantum ComputingSocial NetworksSecurity & Privacy,https://scholar.google.com/citations?hl=en&user=M5W9tuUAAAAJ
Hoai-Tuong NGUYEN,"Postdoctoral Researcher, Computer Science, INSERM 946",,Verified email at inserm.fr - Homepage,https://cvscience.aviesan.fr/cv/1228/nguyen-hoai-tuong,11083,6465,41,29,154,103,BioinformaticsDataminingSemantic webBayesian networksGraph mining,https://scholar.google.com/citations?hl=en&user=POXILTkAAAAJ
Nguyen Quoc Viet Hung,"Associate Professor, Griffith University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=8203070732098030846,Verified email at griffith.edu.au - Homepage,https://experts.griffith.edu.au/9203-henry-nguyen/about,10027,8845,50,48,142,132,Big DataIoTRecommender SystemData PrivacyGraph Data Analysis,https://scholar.google.com/citations?hl=en&user=ntkO_bEAAAAJ
Quyen G To,Central Queensland University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=14975118991578981396,Verified email at cqu.edu.au,,32591,31383,25,24,39,39,Physical activityData analysisEpidemiologyHealth PromotionDeep Learning,https://scholar.google.com/citations?hl=en&user=MtSMW5MAAAAJ
Tuan-Anh Hoang-Vu,New York University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=17630047345716507964,Verified email at nyu.edu - Homepage,https://vgc.poly.edu/~tuananh/,163,107,4,4,3,2,Data IntegrationBig DataUrban Data AnalysisSpatio-Temporal Keyword Index,https://scholar.google.com/citations?hl=en&user=eawfFecAAAAJ
Dat Thanh Tran,"PhD, Department of Computing Sciences, Tampere University",,Verified email at tuni.fi - Homepage,https://dats.bio/,779,760,13,13,16,16,artificial neural networksstatistical pattern recognitionfinancial data analysis,https://scholar.google.com/citations?hl=en&user=tkOko_QAAAAJ
Hanghang Tong,University of Illinois at Urbana-Champaign,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4497256714731484767,Verified email at illinois.edu - Homepage,http://tonghanghang.org/,82260,32461,69,56,260,217,Large Scale Data MiningGraph MiningSocial NetworksHealthcareMultimedia,https://scholar.google.com/citations?hl=en&user=RaINcuUAAAAJ
D T PHAM,University of Birmingham,https://scholar.google.com/citations?view_op=view_org&hl=en&org=2124538389813752374,Verified email at bham.ac.uk,,27029,10755,77,48,367,200,,https://scholar.google.com/citations?hl=en&user=n2MiiDEAAAAJ
Quoc Trung Tran,"Research Fellow in Computer Science, National University of Singapore",https://scholar.google.com/citations?view_op=view_org&hl=en&org=83442941566286721,Verified email at comp.nus.edu.sg,,2664,1920,23,22,48,40,Database management systemsAlgorithms,https://scholar.google.com/citations?hl=en&user=-9giACwAAAAJ
Ninh Hai DO,"PhD, University of California at Berkeley",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11816294095661060495,Verified email at berkeley.edu - Homepage,https://vincentndo.github.io/,96,96,3,3,3,3,Computational and Computer ScienceData ScienceMachine Learning and AIControl and OptimizationDesign and Analysis,https://scholar.google.com/citations?hl=en&user=3DzmheIAAAAJ
Huy T. Vo,"The City College of New York, City University of New York and New York University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=8114794062808693116,Verified email at cs.ccny.cuny.edu - Homepage,http://www-cs.ccny.cuny.edu/~hvo/,5288,2066,29,21,51,36,Big Data Analysis and VisualizationHigh Performance Computing,https://scholar.google.com/citations?hl=en&user=HNwwWQgAAAAJ
Hoang Tam Vo,"Research Scientist, IBM Research Australia",,Verified email at au1.ibm.com - Homepage,http://www.linkedin.com/pub/hoang-tam-vo/89/607/a65,1438,792,21,15,30,24,Big Data Analytics and Cloud Computing,https://scholar.google.com/citations?hl=en&user=JygtcNoAAAAJ
