Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Marcus Nguyen,University of Chicago,https://scholar.google.com/citations?view_op=view_org&hl=en&org=16671384941190438141,Verified email at uchicago.edu,,2280,2250,15,14,17,17,Machine learningbioinformaticsdata sciencedata modeling,https://scholar.google.com/citations?hl=en&user=uLd4lF4AAAAJ
Lemai Nguyen,"Associate Professor, Deakin University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au,,2267,1050,20,12,35,18,Artificial IntelligenceMachine learningAI-humanSocio-technical assessmentDigital Health,https://scholar.google.com/citations?hl=en&user=uJcgAAUAAAAJ
Quynh Nguyen,Senior Research Scientist,,Verified email at quynhnguyen.org - Homepage,http://quynhnguyen.org/,2223,1724,16,14,18,15,Machine LearningDeep LearningOptimization,https://scholar.google.com/citations?hl=en&user=WJNkMakAAAAJ
Tran Khoa Phan,"ARC DECRA Senior Research Fellow and Senior Lecturer, La Trobe University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6055244364183599709,Verified email at latrobe.edu.au - Homepage,https://scholars.latrobe.edu.au/t5phan,3146,2130,25,15,36,24,Internet of Things (IoT)OTFSsatellite communicationsmachine learningsmart grid,https://scholar.google.com/citations?hl=en&user=ymkThicAAAAJ
Linh Tran,"Medical Resident, Johns Hopkins University",,Verified email at jh.edu,,2714,2675,11,11,11,11,Machine LearningBiomedical engineering,https://scholar.google.com/citations?hl=en&user=ZnjEAXUAAAAJ
Tuan Tran,"Researcher, John von Neumann Institute",,Verified email at etu.ephe.psl.eu,,2034,2015,6,6,2,2,Financial Data ScienceMachine LearningArtificial intelligence,https://scholar.google.com/citations?hl=en&user=XOsI44kAAAAJ
Quynh T Tran,St. Jude Children Research's Hospital,,Verified email at stjude.org,,1963,1363,25,22,40,36,bioinformaticsbiostatisticsmachine learningdeep learningcomputational pathology,https://scholar.google.com/citations?hl=en&user=xNL3sbMAAAAJ
Nam Khanh Tran,Amazon,https://scholar.google.com/citations?view_op=view_org&hl=en&org=11215970455707674271,Verified email at amazon.com - Homepage,https://namkhanhtran.github.io/,1947,1134,11,10,16,10,machine learningnatural language processinginformation retrievaltime series forecasting,https://scholar.google.com/citations?hl=en&user=61ZSm2QAAAAJ
Quoc-Huy Tran,"Retrocausal, Inc.",,Verified email at retrocausal.ai - Homepage,https://www.linkedin.com/in/quochuytran/,1859,1504,19,17,23,22,Computer VisionMachine Learning,https://scholar.google.com/citations?hl=en&user=8JbK0V8AAAAJ
Cuong Tran,"Anduin Transactions, Honda Research Institute USA, UC San Diego",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7549334305653538480,Verified email at cs.ucsd.edu - Homepage,http://www.linkedin.com/in/trancuong81,1809,926,21,15,28,20,Computer VisionDriver Assistance SystemsIntelligent SystemsMachine LearningHuman Machine Interface,https://scholar.google.com/citations?hl=en&user=-u-XVcEAAAAJ
Vinh Q. Tran,"Research Scientist, Google DeepMind",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,http://vqtran.github.io/,1671,1657,15,15,15,15,Machine LearningNatural Language Processing,https://scholar.google.com/citations?hl=en&user=ot3WsOwAAAAJ
Son N. Tran,Deakin University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10412436667236230217,Verified email at deakin.edu.au,,1617,1484,16,15,28,24,Data ScienceMachine LearningNeuro-Symbolic/Neural-Symbolic Computing,https://scholar.google.com/citations?hl=en&user=h82eCK8AAAAJ
Minh-Quang Tran,TUETECH University,,Verified email at tuetech.edu.vn - Homepage,https://tuetech.edu.vn/,1616,1614,18,18,22,22,Tool condition monitoringMachining dynamicsBig data analyticsMachine learningAGV,https://scholar.google.com/citations?hl=en&user=Pq54YBQAAAAJ
