Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Chinh T. Hoang,"Professor of Computer Science, Wilfrid Laurier University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=7103833495479198054,Verified email at wlu.ca,,2740,879,28,17,61,26,graph theorygraph algorithmstheoretical computer science,https://scholar.google.com/citations?hl=en&user=fO9txcMAAAAJ
Dung-Hai Lee,U.C.Berkeley,https://scholar.google.com/citations?view_op=view_org&hl=en&org=11816294095661060495,Verified email at berkeley.edu,,26223,6894,79,44,174,117,condensed matter theory,https://scholar.google.com/citations?hl=en&user=uN5DILEAAAAJ
Andrew A. Chien,"William Eckhardt Distinguished Service Professor of Computer Science, University of Chicago",https://scholar.google.com/citations?view_op=view_org&hl=en&org=16671384941190438141,Verified email at cs.uchicago.edu - Homepage,http://achien.cs.uchicago.edu/,16661,2554,64,23,192,49,computer architecturehigh-performance computingcloudssustainabilitydata-intensive,https://scholar.google.com/citations?hl=en&user=zkqz0_0AAAAJ
Nguyen Trung Hieu,Alibaba Cloud Singapore Pte Ltd,,Verified email at alibaba-inc.com,,20898,3441,15,11,21,13,Speech Processing,https://scholar.google.com/citations?hl=en&user=RA5lzN8AAAAJ
Nhat Ho,"Professor at University of Texas, Austin",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14823011757688503605,Verified email at utexas.edu - Homepage,https://nhatptnk8912.github.io/,2338,2288,26,26,57,56,Machine LearningBayesian StatisticsOptimizationOptimal TransportDeep Learning,https://scholar.google.com/citations?hl=en&user=Xs7cKMwAAAAJ
ThanhVu (Vu) Nguyen,"Computer Science, George Mason University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11304740246128990681,Verified email at gmu.edu - Homepage,https://dynaroars.github.io/,3994,2031,17,16,27,19,Software EngineeringFormal MethodsSoftware Testing and VerificationAI Safety,https://scholar.google.com/citations?hl=en&user=TLcVQ-MAAAAJ
My T. Thai,"Professor, University of Florida, IEEE Fellow",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5315230152465104173,Verified email at cise.ufl.edu - Homepage,http://www.cise.ufl.edu/~mythai,11526,5673,54,41,155,109,Explainable AISecurity and PrivacyNetwork ScienceOptimization,https://scholar.google.com/citations?hl=en&user=zLLJimcAAAAJ
Song Han,Massachusetts Institute of Technology,https://scholar.google.com/citations?view_op=view_org&hl=en&org=16345133980181568013,Verified email at mit.edu - Homepage,http://songhan.mit.edu/,61241,55753,62,62,119,118,Computer ArchitectureDeep LearningComputer Vision,https://scholar.google.com/citations?hl=en&user=E0iCaa4AAAAJ
Cong Duy Vu Hoang,Applied Scientist at Oracle Corp.,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4070388776040915118,Verified email at oracle.com - Homepage,https://duyvuleo.github.io/,1077,791,11,11,11,11,Applied DL/ML/NLP/NLU/GenAI,https://scholar.google.com/citations?hl=en&user=UFN7fXQAAAAJ
Huy V. Vo,Researcher at Meta FAIR,,Verified email at meta.com - Homepage,https://huyvvo.github.io/,2123,2122,9,9,9,9,Compute visionmachine learning,https://scholar.google.com/citations?hl=en&user=gIf5VqUAAAAJ
