Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Jonathan Ho,Unknown affiliation,,Verified email at berkeley.edu - Homepage,http://www.jonathanho.me/,38429,37012,33,33,35,34,Artificial IntelligenceMachine Learning,https://scholar.google.com/citations?hl=en&user=iVLAQysAAAAJ
Hung T. Nguyen,"Professor of Mathematics, New Mexico State University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11761345890736700625,Verified email at math.nmsu.edu - Homepage,https://www.math.nmsu.edu/~hunguyen/,33260,12762,76,48,531,293,Applied Mathematics ·        Mathematical Statistics: Statistics of stochastic processesspatial statisticsstatistics of non,https://scholar.google.com/citations?hl=en&user=-LKhbM8AAAAJ
Tien N. Nguyen,"Professor, School of Engineering and Computer Science - The University of Texas at Dallas",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6037664147916511730,Verified email at utdallas.edu - Homepage,http://www.utdallas.edu/~tien.n.nguyen/,13892,8231,60,47,197,131,AI4SESoftware EngineeringArtificial IntelligenceMining Software RepositoriesSoftware Mining,https://scholar.google.com/citations?hl=en&user=l4QhOVoAAAAJ
Huy V. Nguyen,Amazon,,Verified email at pitt.edu - Homepage,http://people.cs.pitt.edu/~huynv/,13234,4969,42,34,130,103,Natural Language Processing,https://scholar.google.com/citations?hl=en&user=KA3ZCe4AAAAJ
Nguyen H. Tran,The University of Sydney,https://scholar.google.com/citations?view_op=view_org&hl=en&org=17869855370174230969,Verified email at sydney.edu.au - Homepage,https://nguyenhoangtran.github.io/,11555,10409,51,48,151,131,Distributed compUtingoptimizAtionmachine Learning (DUAL),https://scholar.google.com/citations?hl=en&user=2QacQMgAAAAJ
Linh Nguyễn,Unknown affiliation,,Verified email at mit.edu,,9925,6585,45,40,202,147,ContructionArtificial IntelligenceConservation BiologyeconomicPricing Theory,https://scholar.google.com/citations?hl=en&user=k6MVfLYAAAAJ
Phan Minh Dung,"Professor, computer science, AIT",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10896677993895577635,Verified email at cs.ait.ac.th,,10680,2952,28,15,49,20,artificial intelligence,https://scholar.google.com/citations?hl=en&user=FLpb_90AAAAJ
Le Thi Hoai An,university of Lorraine,https://scholar.google.com/citations?view_op=view_org&hl=en&org=1997201085834785197,Verified email at univ-lorraine.fr,,11370,5277,47,32,166,88,mathematical optimizationDC programming & DCAmachine learningoperations research,https://scholar.google.com/citations?hl=en&user=FMzNuMUAAAAJ
Chí Cao Minh,Stanford University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=8539678734835078480,Verified email at alumni.stanford.edu,,3998,540,18,11,23,13,,https://scholar.google.com/citations?hl=en&user=VQwdv6IAAAAJ
Minh Do,"Senior Research Scientist, NASA ARC & KBR",,Verified email at nasa.gov,,3727,1400,30,19,64,33,Automated Planning Artificial Intelligence Scheduling,https://scholar.google.com/citations?hl=en&user=1A0lsR4AAAAJ
John Tran,NVIDIA,https://scholar.google.com/citations?view_op=view_org&hl=en&org=15729607608264555120,Verified email at nvidia.com,,11212,9005,14,10,15,11,,https://scholar.google.com/citations?hl=en&user=rHKT_jwAAAAJ
Richard Ngo,OpenAI,,Verified email at openai.com - Homepage,https://www.richardcngo.com/,3812,3809,7,7,6,6,Machine learning,https://scholar.google.com/citations?hl=en&user=7CY93A4AAAAJ
Ngô Bảo Châu,The University of Chicago,https://scholar.google.com/citations?view_op=view_org&hl=en&org=16671384941190438141,Verified email at uchicago.edu - Homepage,https://math.uchicago.edu/~ngo/,1574,668,20,14,26,15,Mathematics,https://scholar.google.com/citations?hl=en&user=J5i9pecAAAAJ
Hoan Thanh Ngo,"Assistant Professor of Computer Science and Engineering at Florida Southern College, Florida, USA",,Verified email at flsouthern.edu - Homepage,https://ngothanhhoan.wixsite.com/research/hoan,1438,995,18,18,23,23,AI in Medicine & Medical Diagnostics,https://scholar.google.com/citations?hl=en&user=niMq2ssAAAAJ
Tuan Vuong,"Centre for Sustainable Cyber Security (CS2), University of Greenwich",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11483227425534905496,Verified email at gre.ac.uk,,806,674,9,8,9,8,Cyber-Physical SecurityMachine Learning,https://scholar.google.com/citations?hl=en&user=-S_skg4AAAAJ
Hailong Dao,University of Kansas,https://scholar.google.com/citations?view_op=view_org&hl=en&org=13272385838766914177,Verified email at ku.edu - Homepage,http://people.ku.edu/~hdao/,1356,877,22,16,38,29,Commutative AlgebraAlgebraic Geometry,https://scholar.google.com/citations?hl=en&user=dM5ZgaIAAAAJ
Nguyen Truong,"Assistant Professor, University of Glasgow",https://scholar.google.com/citations?view_op=view_org&hl=en&org=18074491010562968867,Verified email at glasgow.ac.uk - Homepage,https://nguyentb.github.io/,2086,1737,17,16,20,18,Blockchain Data Privacy Distributed System Decentralized System Internet of Things,https://scholar.google.com/citations?hl=en&user=mj4CTOgAAAAJ
Loc Vu-Quoc,illinois berkeley stanford florida civil mechanical aerospace engineering,,Verified email at illinois.edu - Homepage,http://bit.ly/17Wuww9,7929,1974,37,20,66,30,,https://scholar.google.com/citations?hl=en&user=xlH7V2QAAAAJ
Thang Vu,University of Stuttgart,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10755262191494631905,Verified email at ims.uni-stuttgart.de - Homepage,http://www.ims.uni-stuttgart.de/institut/mitarbeiter/thangvu/index.en.html,5020,3600,38,31,102,90,SpeechNatural Language ProcessingMachine Learning,https://scholar.google.com/citations?hl=en&user=Nxbi5YgAAAAJ
Thanh Vu,Oracle Corporation,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4070388776040915118,Verified email at oracle.com,,2800,2599,20,18,24,22,Natural Language ProcessingDeep LearningSearch Personalisation,https://scholar.google.com/citations?hl=en&user=EidMOuEAAAAJ
Tu Vu,"Research Scientist, Google DeepMind; Assistant Professor, Virginia Tech",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,https://tuvllms.github.io/,3141,3078,15,15,19,19,Natural Language ProcessingLarge Language ModelsTransfer Learning,https://scholar.google.com/citations?hl=en&user=tOevwEEAAAAJ
